cohort_order,row,SampleID,true_category,input_target_logit,baseline_target_logit,logit_difference,convergence_delta,absolute_delta,relative_delta
0,53,Merged40:232897,Benign,4.792623519897461,-3.1102781295776367,7.902901649475098,-0.046471595764160156,0.046471595764160156,0.005880320649978827
1,175,Merged55:56060,Benign,4.486959457397461,-3.0920403003692627,7.578999757766724,-0.08246660232543945,0.08246660232543945,0.010880934814772918
2,342,Merged60:57983,Benign,4.065164089202881,-3.1050515174865723,7.170215606689453,0.0812835693359375,0.0812835693359375,0.011336279659443433
3,394,Merged31:617727,Benign,5.250359535217285,-3.111534595489502,8.361894130706787,0.07590961456298828,0.07590961456298828,0.009078040618121536
4,460,Merged61:676602,Benign,5.079899311065674,-3.1295266151428223,8.209425926208496,-0.12113571166992188,0.12113571166992188,0.014755686056341349
5,590,Merged13:593168,Benign,2.118791341781616,-3.1050515174865723,5.2238428592681885,0.17339611053466797,0.17339611053466797,0.033193209521421005
6,624,Merged12:186681,Benign,3.6700196266174316,-3.1011242866516113,6.771143913269043,0.13687849044799805,0.13687849044799805,0.02021497286149312
7,649,Merged46:647972,Benign,5.047028541564941,-3.108447790145874,8.155476331710815,-0.2716207504272461,0.2716207504272461,0.03330532017745024
8,848,Merged59:313077,Benign,3.982861042022705,-3.092195987701416,7.075057029724121,-1.1857318878173828,1.1857318878173828,0.16759326219362194
9,946,Merged57:69584,Benign,4.885221481323242,-3.0872323513031006,7.972453832626343,-0.041411399841308594,0.041411399841308594,0.005194310398115728
10,1020,Merged16:714104,Benign,2.938049077987671,-3.1274092197418213,6.065458297729492,-0.0008401870727539062,0.0008401870727539062,0.00013851996527095353
11,1165,Merged37:439972,Benign,4.587779998779297,-3.111534595489502,7.699314594268799,-0.020742416381835938,0.020742416381835938,0.00269406011767283
12,1202,Merged43:565569,Benign,4.729748249053955,-3.102964401245117,7.832712650299072,0.018217086791992188,0.018217086791992188,0.0023257698329194566
13,1225,Merged27:265742,Benign,5.150995254516602,-3.059474468231201,8.210469722747803,0.3783273696899414,0.3783273696899414,0.04607865109614293
14,1278,Merged17:189088,Benign,5.242323398590088,-3.0498876571655273,8.292211055755615,-0.38690853118896484,0.38690853118896484,0.04665927200688073
15,1345,Merged38:175000,Benign,5.1928205490112305,-3.1283273696899414,8.321147918701172,0.05551433563232422,0.05551433563232422,0.006671475639503993
16,1358,Merged62:440048,Benign,4.9983673095703125,-3.0929670333862305,8.091334342956543,-0.0760354995727539,0.0760354995727539,0.00939715210742
17,1360,Merged47:204860,Benign,3.740849733352661,-3.108447790145874,6.849297523498535,-0.09618663787841797,0.09618663787841797,0.014043285103095805
18,1678,Merged42:290617,Benign,4.748096466064453,-3.102964401245117,7.85106086730957,-0.19718074798583984,0.19718074798583984,0.025115172499409043
19,1706,Merged34:129202,Benign,3.9884986877441406,-3.111534595489502,7.100033283233643,-0.02437734603881836,0.02437734603881836,0.00343341292446955
20,1771,Merged26:420091,Benign,4.376285552978516,-3.062047243118286,7.438332796096802,0.37604188919067383,0.37604188919067383,0.05055459328036498
21,1795,Merged47:584570,Benign,3.65913724899292,-3.0975780487060547,6.756715297698975,0.09007120132446289,0.09007120132446289,0.013330619591909842
22,1858,Merged61:663080,Benign,4.644557952880859,-3.1344399452209473,7.778997898101807,-0.048285484313964844,0.048285484313964844,0.006207159964106332
23,1914,Merged18:124490,Benign,4.916101455688477,-3.0939362049102783,8.010037660598755,0.31603431701660156,0.31603431701660156,0.03945478540895871
24,1986,Merged27:169139,Benign,5.1804914474487305,-3.080413818359375,8.260905265808105,-0.051995277404785156,0.051995277404785156,0.006294137958462453
25,2103,Merged59:459030,Benign,5.096794605255127,-3.1283273696899414,8.225121974945068,0.12238121032714844,0.12238121032714844,0.01487895385623941
26,2277,Merged02:139445,Benign,3.8271517753601074,-3.0939362049102783,6.921087980270386,0.20685625076293945,0.20685625076293945,0.029887822745876758
27,2319,Merged25:327505,Benign,2.4574103355407715,-3.1295266151428223,5.586936950683594,-0.026757240295410156,0.026757240295410156,0.004789250448250764
28,2395,Merged08:236934,Benign,2.975471258163452,-3.1102781295776367,6.085749387741089,-0.03732872009277344,0.03732872009277344,0.006133791865956072
29,2424,Merged24:7609,Benign,4.4151611328125,-3.0920403003692627,7.507201433181763,-0.041271209716796875,0.041271209716796875,0.0054975492644141
30,2434,Merged05:408332,Benign,4.625485897064209,-3.118527889251709,7.744013786315918,0.3050565719604492,0.3050565719604492,0.03939256571308025
